PhysIndex,SpecIndex
-0.420668646803765,-0.019380610157326023
0.7785729729486651,0.21939546098921894
-0.2775069473496464,0.7231830155962599
0.3004977774479469,0.49545716369230136
-0.7711637676044436,0.6328723164750358
-0.4800416287217648,-0.8403720719574753
-0.20235745261290564,-0.14566319917528506
-0.27351403200038316,0.04817874933662081
0.01304394770731602,-0.3292476628007301
-0.16477191390225243,2.1500034000377437
-0.8760825588410525,-0.24207495254222758
-0.9822240836673174,-0.06300316460696997
0.8840610979476443,0.3106254683335255
-0.14530241440046346,-0.23554498874901256
-0.06783821185002198,-0.4567782296894496
0.5464050808302888,-0.20514669762459578
-0.16889480915461505,-0.03345440198118902
1.6366288931509168,-0.25144608221064885
1.2142711283671284,-0.43110344300090747
1.2020843683183664,-0.11620553362066584
0.4163299628256238,-0.08855915064815208
0.9470666080873934,0.23935537554103656
-0.9970669654628582,-0.4344231486154982
-1.1335597653328058,-0.31112346274309227
-1.11646532941917,-0.4190743713036788
-0.4722836349138852,-0.38625787893733515
0.5853910144172181,0.04309985202501573
0.025531721153287945,0.10438512682942329
-0.0001424111644395265,0.04230312150806383
